ean,asin,prezzo_amazon,titolo_amazon,link_sku_central
"8019227261752","B06XXKHXZW","","PNEUMATICO ESTIVO PIRELLI - 305/30 ZR20 TL 103Y PI PZERO (N1) XL","https://sellercentral.amazon.it/skucentral?mSku=8019227261752&condition=New"
"8019227261752","B07G17N8V8","","Pneumatici PIRELLI ZO PZERO N1 305 30 ZR 20 103Y XL Pneumatico estivo per auto nuovi dot originali","https://sellercentral.amazon.it/skucentral?mSku=8019227261752&condition=New"
"8019227261752","B01ABRNNGO","","PIRELLI - PZERO 305/30ZR20 103Y PNEUMATICO AUTO ESTIVO E/A/74","https://sellercentral.amazon.it/skucentral?mSku=8019227261752&condition=New"
"8019227261752","B06XVWXVSY","","GOMME PNEUMATICI PZERO (N1) XL 305/30 R20 103Y PIRELLI","https://sellercentral.amazon.it/skucentral?mSku=8019227261752&condition=New"
"5452000488077","B06XW3HZBN","","GOMME PNEUMATICI EAGLE F1 ASYMMETRIC 3 (*) (MOE) XL RUN FLAT 275/35 R19 100Y GOODYEAR","https://sellercentral.amazon.it/skucentral?mSku=5452000488077&condition=New"
"5452000488077","B01AEJGUUA","","Goodyear F1 Asym 3* ROF XL 275/35/R19 100 Y - Pneumatico Estivo - B/C/71","https://sellercentral.amazon.it/skucentral?mSku=5452000488077&condition=New"
"4019238097658","B0BRQR47RB","","CONTINENTAL 245/45 R19 102Y EcoContact 6 Q XL *(BMW) MO(MERCEDES)","https://sellercentral.amazon.it/skucentral?mSku=4019238097658&condition=New"
"4019238097658","B0C4YXLZDC","","245/45Yr19 Conti Tl Eco 6 Q* Mo Fr Xl% (Eu)102Y","https://sellercentral.amazon.it/skucentral?mSku=4019238097658&condition=New"
"3286340785310","B01EU774VQ","","Bridgestone Ecopia EP 500 XL - 175/55R20 89Q - Pneumatico Estivo","https://sellercentral.amazon.it/skucentral?mSku=3286340785310&condition=New"
"3286340785310","B07MX69JDK","","Gomme Continental Contitrailattack 3 120 70 ZR19 M/C 60W TL per Moto","https://sellercentral.amazon.it/skucentral?mSku=3286340785310&condition=New"
"5420068664894","B071ZFR72X","","PNEUMATICO ESTIVO TRISTAR - 205/45 R 17 88W XL Sportpower2","https://sellercentral.amazon.it/skucentral?mSku=5420068664894&condition=New"
"5420068664894","B071R3FTK9","","Tristar Sportpower 2 XL - 205/45R17 88W - Pneumatico Estivo","https://sellercentral.amazon.it/skucentral?mSku=5420068664894&condition=New"
